person,lang,z1000t,z0t,z1000mem,stmtL,z1000rel,m1000rel,whours,caps
s149210,python,0.250,0.200,17480,225,100.00,10.2,4.50,0-10%
s149211,python,1.483,1.150,91120,82,98.48,10.2,2.00,40-60%
s149212,python,0.617,0.467,14048,84,99.24,100.0,3.00,0-10%
s149213,python,0.733,0.533,14000,52,99.24,100.0,4.32,60-75%
s149301,rexx,0.817,0.300,8968,53,100.00,98.4,0.93,10-25%
s149302,rexx,25.400,0.900,21152,203,44.75,46.6,8.00,10-25%
s149303,rexx,21.000,0.950,21144,191,99.62,98.9,10.00,10-25%
s149304,rexx,1.000,0.433,9048,53,100.00,100.0,3.00,10-25%
s149401,tcl,0.650,0.567,32400,62,100.00,100.0,0.83,10-25%
s149402,tcl,0.567,0.433,29272,78,100.00,100.0,4.00,0-10%
s149403,tcl,0.617,0.517,28880,144,100.00,100.0,4.50,10-25%
s149405,tcl,0.967,0.667,44536,98,100.00,100.0,3.75,25-40%
s149406,tcl,0.650,0.583,26352,105,100.00,100.0,1.38,10-25%
s149407,tcl,0.783,0.467,17672,44,100.00,100.0,0.60,0-10%
s149408,tcl,202.800,0.633,48840,173,100.00,100.0,7.00,0-10%
s149409,tcl,0.683,0.567,23192,70,100.00,100.0,8.00,0-10%
s149410,tcl,29.400,1.433,20296,240,100.00,10.2,13.00,40-60%
s149411,tcl,0.467,0.367,21448,135,100.00,100.0,3.50,10-25%
